Index,Name,Ranking,Overview,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2019 Endowment,School Website
10,Northwestern University,#9,"Northwestern University is a private institution that was founded in 1851. It has a total undergraduate enrollment of 8,327, its setting is suburban, and the campus size is 231 acres. It utilizes a quarter-based academic calendar. Northwestern University's ranking in the 2021 edition of Best Colleges is National Universities, #9. Its tuition and fees are $58,701. Northwestern University is a Division I school in the Big Ten athletic conference. Northwestern's women's lacrosse team has won multiple NCAA national championships. The school has hundreds of campus organizations to fulfill students' varied interests. All first-year students are required to live on campus for two years. The school's 10 residential colleges offer thematic living quarters for social and academic programming. Northwestern's main campuses are located along Lake Michigan in Evanston and Chicago. In 2008, Northwestern opened a third branch in Doha, Qatar. Of Northwestern’s dozen schools, nine offer undergraduate programs and 10 offer graduate and professional programs. Northwestern’s highly-ranked graduate schools include the Kellogg School of Management, the School of Education and Social Policy, the Pritzker School of Law, the Feinberg School of Medicine, the McCormick School of Engineering and Applied Sciences and the Interdepartmental Biological Sciences Program. Northwestern’s Medill School is known for its strong journalism graduate program. Northwestern’s Dance Marathon, created in 1975, is one of the largest student-run philanthropies in the country and has raised more than $20 million for Chicago-area charities. Notable alumni include the 55th mayor of Chicago Rahm Emanuel; retired U.S. Supreme Court Justice John Paul Stevens; Meghan Markle, Duchess of Sussex; ESPN commentator Michael Wilbon; comedian Stephen Colbert; and president and COO of SpaceX, Gwynne Shotwell.","Private, Coed",1851,None,Quarter,Suburban,$8.4 billion,http://www.northwestern.edu
11,Duke University,#12,"Duke University is a private institution that was founded in 1838. It has a total undergraduate enrollment of 6,649, and the setting is Suburban. It utilizes a semester-based academic calendar. Duke University's ranking in the 2021 edition of Best Colleges is National Universities, #12. Its tuition and fees are $60,488. Durham, North Carolina, which surrounds Duke's campus, offers a variety of activities including shopping, dining and entertainment. Its ""Bull City"" nickname comes from the Blackwell Tobacco Company's Bull Durham Tobacco. Students at Duke are required to live on campus for their first three years, and freshmen live together on the East Campus. The Duke Blue Devils maintain a fierce rivalry with the University of North Carolina—Chapel Hill Tar Heels and are best known for their outstanding men's basketball program, which is one of the top five most wins all-time college basketball programs in the country. Approximately 30 percent of the student body is affiliated with Greek life, which encompasses almost 40 fraternities and sororities. Duke University is divided into 10 schools and colleges, many of which serve both undergraduate and graduate students. Its graduate programs include the highly ranked Fuqua School of Business, Pratt School of Engineering, School of Law, School of Medicine, Sanford School of Public Policy and School of Nursing. Duke also offers graduate programs through its well-respected Divinity School and Nicholas School of the Environment. Duke's most esteemed undergraduate scholarship, the Robertson Scholars Leadership Program, is offered to students at both Duke University and the University of North Carolina—Chapel Hill. It provides about 18 students from each class with a four-year scholarship and the opportunity for unique academic and extracurricular opportunities at both universities. Notable alumni include Melinda Gates, co-founder of the Bill and Melinda Gates Foundation; NBA player Carlos Boozer; and former U.S. Congressman and three-time presidential candidate Ron Paul.","Private, Coed",1838,None,Semester,Suburban,$8.6 billion +,http://www.duke.edu/
12,Dartmouth College,#13,"Dartmouth College is a private institution that was founded in 1769. It has a total undergraduate enrollment of 4,459, its setting is rural, and the campus size is 237 acres. It utilizes a quarter-based academic calendar. Dartmouth College's ranking in the 2021 edition of Best Colleges is National Universities, #13. Its tuition and fees are $59,458. Dartmouth College, located in Hanover, New Hampshire, offers a wide range of student activities. Nearly 25 percent of students participate in Dartmouth's NCAA Division I varsity sports. More than 90 percent of students live in on-campus housing, which includes residence halls, fraternity and sorority houses, college-approved coeds and undergraduate societies. Approximately 60 percent of students are members of Greek organizations, which serve as the hubs of social life at Dartmouth. The Outing Club – the oldest and largest collegiate outing club in the country – is the most popular student organization at Dartmouth, offering outdoor activities, expeditions, gear rentals and courses. Dartmouth is also the birthplace of the programming language BASIC. Dartmouth College is comprised of the undergraduate arts and sciences and engineering departments and four graduate programs, which include the highly ranked Tuck School of Business, Thayer School of Engineering and Geisel School of Medicine. The Carnegie Foundation has classified Dartmouth as a university with ""very high research activity."" More than 50 percent of students participate in the many off-campus programs offered in more than 20 countries around the world. Distinguished Dartmouth alumni include Theodor Geisel (well known as Dr. Seuss), creator of the television show ""Grey's Anatomy"" Shonda Rhimes and former U.S. Secretary of the Treasury Timothy Geithner. The classic comedy film ""Animal House"" is loosely based on a series of stories from a fraternity at Dartmouth.","Private, Coed",1769,None,Quarter,Rural,$5.7 billion +,http://www.dartmouth.edu
13,Brown University,#14,"Brown University is a private institution that was founded in 1764. It has a total undergraduate enrollment of 7,160, its setting is city, and the campus size is 146 acres. It utilizes a semester-based academic calendar. Brown University's ranking in the 2021 edition of Best Colleges is National Universities, #14. Its tuition and fees are $60,696. Located atop College Hill in Providence, Rhode Island, Brown University has a college town feel with Thayer Street serving as a center of activity for shopping and dining. All students at Brown are required to live on campus for their first six semesters, though a small percentage of juniors may receive permission to live off campus. Housing options include traditional singles, doubles, triples and suites. With more than 400 student organizations on campus ranging from The Brown Noser satirical newspaper to Brown Ballroom Dance, students can find a way to pursue their interests. The Brown Bears have more than 35 NCAA Division I athletic teams and compete in the Ivy League. Brown also has a small but vibrant Greek community with about a dozen chapters, including a few co-ed Greek organizations. Brown offers a number of graduate studies through its Graduate School, which includes well-regarded programs in English and history. Students can also pursue a medical education at the highly ranked Warren Alpert Medical School. Each year, about 50 admitted first-year undergraduates are accepted to the Alpert Medical School through Brown’s eight-year Program in Liberal Medical Education. The center section of the Van Wickle Gates on Brown’s campus opens only three times a year: twice to let incoming students onto campus for convocation at the beginning of each semester and once to let recent graduates exit after commencement. Brown hosts an annual celebratory ""Spring Weekend"" with concerts and free food. Notable alumni include John D. Rockefeller Jr., John F. Kennedy Jr. and CNN founder and media mogul Ted Turner.","Private, Coed",1764,None,Semester,City,$4.0 billion,https://www.brown.edu/admission/undergraduate/
14,Vanderbilt University,#14,"Vanderbilt University is a private institution that was founded in 1873. It has a total undergraduate enrollment of 6,886, its setting is urban, and the campus size is 333 acres. It utilizes a semester-based academic calendar. Vanderbilt University's ranking in the 2021 edition of Best Colleges is National Universities, #14. Its tuition and fees are $54,158. Vanderbilt University offers a wide range of student activities. Located in Nashville, or Music City, there are plenty of off-campus options for dining, shopping, music and entertainment. On campus, Greek organizations play a big role in social life, with approximately 40 percent of students affiliated with Greek life. All undergraduate students at Vanderbilt are required to live on campus, and freshmen live together in The Commons, which has many LEED Gold and Silver certified buildings. The Commodores, named for Vanderbilt founder ""Commodore"" Cornelius Vanderbilt, have teams in the NCAA Division I Southeastern Conference. More than 40 percent of students take advantage of Vanderbilt’s study abroad programs, which are offered in more than 40 countries. Vanderbilt is comprised of 10 schools and colleges covering disciplines from the humanities to music to engineering. Among its graduate programs are the top-ranked Peabody College of Education and Human Development, which also offers undergraduate programs, and the highly ranked Owen Graduate School of Management, School of Engineering, Law School, School of Medicine and School of Nursing. Vanderbilt is also well known for its undergraduate Blair School of Music, and the Vanderbilt University Medical Center is ranked one of the best in the nation. Former chairman and CEO of Time Inc. Ann Moore, former NFL quarterback Jay Cutler and novelist James Patterson all received degrees from Vanderbilt.","Private, Coed",1873,None,Semester,Urban,$4.6 billion +,http://www.vanderbilt.edu
15,Rice University,#16,"Rice University is a private institution that was founded in 1912. It has a total undergraduate enrollment of 3,989, its setting is urban, and the campus size is 300 acres. It utilizes a semester-based academic calendar. Rice University's ranking in the 2021 edition of Best Colleges is National Universities, #16. Its tuition and fees are $51,107. Rice University, located in the heart of Houston’s Museum District, offers a dynamic student life in the nation’s fourth-largest city. The Rice Coffeehouse, Valhalla Pub and Willy’s Pub are all student-run institutions offering on-campus food and drink. Before stepping foot on campus, all students are assigned to one of 11 residential colleges, of which they remain members even if they decide to move off campus. The residential colleges provide housing, dining, and academic and social events. The Rice Owls boast 14 varsity NCAA Division I athletic teams and are well known for their strong baseball program. Students receive free tickets to all varsity athletic events. Rice is comprised of eight schools, including the School of Social Sciences, School of Humanities and Wiess School of Natural Sciences. Its graduate schools include the highly ranked Jesse H. Jones Graduate School of Business and George R. Brown School of Engineering. Rice also has a well-regarded School of Architecture and the Shepherd School of Music. Rice is home to the James A. Baker III Institute for Public Policy, a nonpartisan think tank, which offers coursework, internships and lectures. When a private detective found Rice’s stolen owl mascot at rival school Texas A&M in 1917, he sent a coded message back to Rice students letting them know that ""Sammy"" was OK, thus bestowing a name on the school’s mascot.","Private, Coed",1912,None,Semester,Urban,$6.5 billion +,http://www.rice.edu
16,Washington University in St. Louis,#16,"Washington University in St. Louis is a private institution that was founded in 1853. It has a total undergraduate enrollment of 7,822, its setting is urban, and the campus size is 169 acres. It utilizes a semester-based academic calendar. Washington University in St. Louis's ranking in the 2021 edition of Best Colleges is National Universities, #16. Its tuition and fees are $57,386. Washington University in St. Louis is located in a city that offers professional sports in baseball and hockey in addition to a wide range of options for dining and entertainment. The Wash U Bears are members of the NCAA Division III University Athletic Association. Freshmen are required to live on campus in one of the residence houses. After freshman year, students can choose to live in suite-style housing, on-campus apartments, fraternity houses or off-campus apartments and homes. Approximately 35 percent of students are affiliated with Greek life at Wash U. Wash U is divided into four schools that serve undergraduate and graduate students, and four graduate schools. Among Wash U’s graduate programs are the top-ranked George Warren Brown School of Social Work, the highly ranked Olin Business School, School of Law, School of Medicine, Sam Fox School of Design and Visual Arts, School of Engineering and Applied Science and a graduate program in education. The Mildred Lane Kemper Art Museum on Wash U’s campus houses one of the most distinguished university collections in the country, including works from Pablo Picasso and Jackson Pollock. Actor Peter Sarsgaard graduated from Wash U, as did former FBI Director William H. Webster. Wash U’s Barnes-Jewish Hospital is one of the top-ranked hospitals in the country.","Private, Coed",1853,None,Semester,Urban,$8.1 billion +,https://www.wustl.edu
17,Cornell University,#18,"Cornell University is a private institution that was founded in 1865. It has a total undergraduate enrollment of 15,043, its setting is rural, and the campus size is 745 acres. It utilizes a semester-based academic calendar. Cornell University's ranking in the 2021 edition of Best Colleges is National Universities, #18. Its tuition and fees are $59,316. Cornell University, located in Ithaca, New York, has more than 1,000 student organizations on campus, which range from the Big Red Marching Band to the International Affairs Society. First-year students live together on north campus, and the university has housing options for upperclassmen and graduate students, though many choose to live off campus. Cornell has a thriving Greek life, with more than 60 fraternity and sorority chapters. Cornell has 35 NCAA Division I varsity teams that compete in the Ivy League. The Cornell Big Red are well known for their successful men's lacrosse and men's wrestling teams; the school also has a strong ice hockey program. Each of Cornell's seven undergraduate colleges and schools admits its own students and provides its own faculty, even though every graduate receives a degree from Cornell University. Cornell's two largest undergraduate colleges are the College of Arts and Sciences and the College of Agriculture and Life Sciences. Its graduate schools include the highly ranked S.C. Johnson Graduate School of Management, College of Engineering, Law School and Weill Cornell Medical College. Cornell is also well known for its top-ranked College of Veterinary Medicine and the highly esteemed School of Hotel Administration. One of Cornell's oldest traditions is Dragon Day, during which a dragon built by first-year architecture students is paraded through campus. Notable alumni include U.S. Supreme Court Justice Ruth Bader Ginsburg, author E.B. White and Bill Nye, the ""Science Guy.""","Private, Coed",1865,None,Semester,Rural,$7.0 billion,http://www.cornell.edu
18,University of Notre Dame,#19,"University of Notre Dame is a private institution that was founded in 1842. It has a total undergraduate enrollment of 8,731, its setting is city, and the campus size is 1,265 acres. It utilizes a semester-based academic calendar. University of Notre Dame's ranking in the 2021 edition of Best Colleges is National Universities, #19. Its tuition and fees are $57,699. Notre Dame is located in South Bend, Ind., just 100 miles outside of Chicago. Only freshmen are required to live on campus, but most students choose to remain on campus in one of the 30 single-sex residence halls. The halls serve as the centers of social life at Notre Dame, as there is no Greek life on campus. Legends, an on-campus restaurant and pub, is a popular spot for watching sporting events. The Notre Dame ""Fighting Irish"" have about 20 varsity NCAA Division I athletic teams and are well known for their consistently strong football program. Over half of students study abroad for at least one semester. Notre Dame is divided into eight schools and colleges, the largest of which is the College of Arts and Letters. Notre Dame’s graduate and professional programs include the highly ranked Mendoza College of Business and Law School in addition to a well-regarded School of Architecture, which offers undergraduate and graduate programs. Notable alumni include former U.S. Secretary of State Condoleezza Rice, talk-show host Regis Philbin and Hall of Fame football player Joe Montana. The 1993 film ""Rudy,"" ranked one of the top 25 sports movies of the past 25 years by ESPN, was filmed on Notre Dame’s campus and depicts the true story of Daniel ""Rudy"" Ruettiger, who overcame many obstacles to play football at Notre Dame.","Private, Coed",1842,Roman Catholic,Semester,City,$11.6 billion,http://www.nd.edu
19,University of California--Los Angeles,#20,"University of California—Los Angeles is a public institution that was founded in 1919. It has a total undergraduate enrollment of 31,543, its setting is urban, and the campus size is 419 acres. It utilizes a quarter-based academic calendar. University of California—Los Angeles's ranking in the 2021 edition of Best Colleges is National Universities, #20. Its in-state tuition and fees are $13,226; out-of-state tuition and fees are $42,980. Located in LA’s Westwood neighborhood, five miles from the Pacific Ocean, UCLA encompasses the College of Letters and Sciences and a number of graduate schools and programs, including the highly ranked Anderson School of Management, Henry Samueli School of Engineering and Applied Science, School of Law and David Geffen School of Medicine. UCLA also has a prestigious School of Theater, Film and Television, and School of Dentistry. The Ronald Reagan UCLA Medical Center is one of the top-ranked hospitals in the country. UCLA’s Southern California campus spans more than 400 acres and is located near the coast. A busy walkway known as the Bruin Walk connects the residence halls to the heart of campus. UCLA guarantees students housing for three years. The school offers more than 1,000 student organizations, including media groups and more than 65 Greek chapters, which represent about 13% of the student body. UCLA fields both men's and women's teams in basketball, cross country, golf, soccer, tennis, track and field, volleyball and water polo. Male athletes also compete in baseball and football, while women can also join beach volleyball, gymnastics, rowing, softball, and swimming and diving teams. The UCLA Bruins compete in the Pac-12 Conference of NCAA’s Division I and are well known for their water polo teams.","Public, Coed",1919,None,Quarter,Urban,$4.9 billion +,http://www.ucla.edu/
20,Emory University,#21,"Emory University is a private institution that was founded in 1836. It has a total undergraduate enrollment of 7,118, its setting is city, and the campus size is 631 acres. It utilizes a semester-based academic calendar. Emory University's ranking in the 2021 edition of Best Colleges is National Universities, #21. Its tuition and fees are $53,868. Emory University, located near downtown Atlanta, is divided into nine schools and colleges, four of which serve undergraduate and graduate students. Emory’s graduate programs include the highly ranked Goizueta Business School, School of Law and School of Medicine. First- and second-year students are required to live on campus, but a majority of students remain on campus all four years. The Student Programming Council organizes events and performances throughout the year, including from well-known entertainers and musicians. A popular student organization is Volunteer Emory, which oversees community service activities. The Emory Eagles have nearly 20 NCAA Division III varsity teams and are well-known for their successful swimming and diving team. Regardless of whether they participate in varsity athletics, all students are required to take two courses in physical education. Emory also has a thriving Greek community.","Private, Coed",1836,United Methodist,Semester,City,$8.6 billion +,http://www.emory.edu
